location,year,month,tmax,tmin,tmean
Archerfield,1997,10,25.96,14.25,20.11
Archerfield,1997,11,28.59,18.5,23.54
Archerfield,1997,12,30.15,20.37,25.26
Archerfield,1998,1,32.0,21.65,26.82
Archerfield,1998,2,31.53,21.58,26.55
Archerfield,1998,3,31.34,19.22,25.28
Archerfield,1998,4,26.3,16.55,21.43
Archerfield,1998,5,24.49,12.85,18.67
Archerfield,1998,6,21.76,10.64,16.2
Archerfield,1998,7,21.65,10.35,16.0
Archerfield,1998,8,22.72,11.63,17.18
Archerfield,1998,9,24.99,14.49,19.74
Archerfield,1998,10,28.28,15.67,21.98
Archerfield,1998,11,27.36,16.34,21.85
Archerfield,1998,12,29.7,18.72,24.21
Archerfield,1999,1,29.92,20.29,25.1
Archerfield,1999,2,29.2,20.22,24.71
Archerfield,1999,3,29.09,19.37,24.23
Archerfield,1999,4,25.7,14.46,20.08
Archerfield,1999,5,24.87,13.68,19.28
Archerfield,1999,6,21.59,9.95,15.77
Archerfield,1999,7,21.02,9.81,15.42
Archerfield,1999,8,21.45,8.86,15.15
Archerfield,1999,9,23.91,11.76,17.83
Archerfield,1999,10,26.56,15.5,21.03
Archerfield,1999,11,26.1,14.96,20.53
Archerfield,1999,12,27.06,16.16,21.61
Archerfield,2000,1,29.11,18.92,24.02
Archerfield,2000,2,28.25,18.54,23.39
Archerfield,2000,3,28.7,18.84,23.77
Archerfield,2000,4,26.59,16.14,21.37
Archerfield,2000,5,23.62,12.49,18.06
Archerfield,2000,6,20.78,8.3,14.54
Archerfield,2000,7,21.48,6.47,13.97
Archerfield,2000,8,23.06,6.77,14.92
Archerfield,2000,9,27.62,11.07,19.35
Archerfield,2000,10,26.94,15.21,21.08
Archerfield,2000,11,26.65,16.5,21.57
Archerfield,2000,12,29.89,18.95,24.42
Archerfield,2001,1,30.4,20.18,25.29
Archerfield,2001,2,29.36,18.9,24.13
Archerfield,2001,3,29.55,20.12,24.84
Archerfield,2001,4,26.7,15.45,21.08
Archerfield,2001,5,23.57,10.93,17.25
Archerfield,2001,6,22.77,9.01,15.89
Archerfield,2001,7,21.9,7.18,14.54
Archerfield,2001,8,22.79,7.03,14.91
Archerfield,2001,9,25.0,10.31,17.66
Archerfield,2001,10,27.9,14.2,21.05
Archerfield,2001,11,27.6,16.87,22.24
Archerfield,2001,12,29.96,20.31,25.13
Archerfield,2002,1,31.49,20.36,25.93
Archerfield,2002,2,31.22,20.5,25.86
Archerfield,2002,3,29.95,18.36,24.15
Archerfield,2002,4,27.33,15.51,21.42
Archerfield,2002,5,23.95,11.2,17.57
Archerfield,2002,6,22.09,8.85,15.47
Archerfield,2002,7,22.3,4.0,13.15
Archerfield,2002,8,22.56,8.44,15.5
Archerfield,2002,9,26.52,12.26,19.39
Archerfield,2002,10,28.19,14.13,21.16
Archerfield,2002,11,29.26,17.5,23.38
Archerfield,2002,12,30.29,19.06,24.68
Archerfield,2003,1,30.46,18.91,24.69
Archerfield,2003,2,28.62,20.57,24.6
Archerfield,2003,3,27.58,18.03,22.8
Archerfield,2003,4,25.81,15.39,20.6
Archerfield,2003,5,23.85,11.69,17.77
Archerfield,2003,6,21.85,9.71,15.78
Archerfield,2003,7,20.87,7.64,14.25
Archerfield,2003,8,22.65,8.71,15.68
Archerfield,2003,9,28.22,11.4,19.81
Archerfield,2003,10,26.29,13.98,20.14
Archerfield,2003,11,28.07,15.66,21.86
Archerfield,2003,12,29.69,19.59,24.64
Archerfield,2004,1,32.03,21.63,26.83
Archerfield,2004,2,32.28,21.4,26.84
Archerfield,2004,3,29.03,18.94,23.99
Archerfield,2004,4,27.55,16.01,21.78
Archerfield,2004,5,24.56,10.11,17.33
Archerfield,2004,6,23.17,7.91,15.54
Archerfield,2004,7,22.9,7.08,14.99
Archerfield,2004,8,23.88,7.71,15.79
Archerfield,2004,9,25.59,11.08,18.34
Archerfield,2004,10,28.85,15.68,22.26
Archerfield,2004,11,28.52,17.15,22.83
Archerfield,2004,12,29.33,19.42,24.37
Archerfield,2005,1,30.33,20.62,25.47
Archerfield,2005,2,31.45,20.48,25.96
Archerfield,2005,3,29.86,16.95,23.41
Archerfield,2005,4,28.38,15.56,21.97
Archerfield,2005,5,24.7,11.75,18.22
Archerfield,2005,6,22.07,10.62,16.35
Archerfield,2005,7,22.27,8.96,15.62
Archerfield,2005,8,23.15,7.3,15.22
Archerfield,2005,9,25.68,11.49,18.58
Archerfield,2005,10,28.88,17.12,23.0
Archerfield,2005,11,28.22,18.67,23.44
Archerfield,2005,12,32.38,20.88,26.63
Archerfield,2006,1,30.71,21.55,26.13
Archerfield,2006,2,31.35,21.02,26.19
Archerfield,2006,3,28.41,18.44,23.42
Archerfield,2006,4,28.18,14.85,21.52
Archerfield,2006,5,25.1,9.46,17.28
Archerfield,2006,6,21.67,8.66,15.17
Archerfield,2006,7,22.33,8.32,15.33
Archerfield,2006,8,24.2,8.33,16.27
Archerfield,2006,9,24.87,12.4,18.63
Archerfield,2006,10,26.8,14.57,20.69
Archerfield,2006,11,28.45,16.57,22.51
Archerfield,2006,12,28.01,17.27,22.64
Archerfield,2007,1,30.56,20.16,25.36
Archerfield,2007,2,29.9,19.3,24.6
Archerfield,2007,3,31.21,19.14,25.18
Archerfield,2007,4,28.25,15.35,21.8
Archerfield,2007,5,26.76,13.78,20.27
Archerfield,2007,6,20.37,10.46,15.42
Archerfield,2007,7,21.25,5.83,13.54
Archerfield,2007,8,23.5,9.59,16.54
Archerfield,2007,9,26.11,11.67,18.89
Archerfield,2007,10,28.55,16.3,22.43
Archerfield,2007,11,26.49,17.11,21.8
Archerfield,2007,12,28.31,19.57,23.94
Archerfield,2008,1,28.89,20.76,24.83
Archerfield,2008,2,28.86,19.95,24.41
Archerfield,2008,3,27.47,16.1,21.79
Archerfield,2008,4,25.91,13.42,19.66
Archerfield,2008,5,24.47,9.66,17.06
Archerfield,2008,6,22.8,10.5,16.65
Archerfield,2008,7,20.37,8.83,14.6
Archerfield,2008,8,21.65,7.2,14.43
Archerfield,2008,9,25.1,13.54,19.32
Archerfield,2008,10,26.3,14.43,20.36
Archerfield,2008,11,28.1,18.44,23.27
Archerfield,2008,12,30.19,19.76,24.97
Archerfield,2009,1,30.35,20.19,25.27
Archerfield,2009,2,30.36,20.29,25.33
Archerfield,2009,3,29.01,18.63,23.82
Archerfield,2009,4,26.9,16.42,21.66
Archerfield,2009,5,23.54,11.62,17.58
Archerfield,2009,6,21.11,9.5,15.3
Archerfield,2009,7,21.16,7.46,14.31
Archerfield,2009,8,25.55,9.46,17.5
Archerfield,2009,9,26.93,11.6,19.27
Archerfield,2009,10,28.11,13.66,20.89
Archerfield,2009,11,30.2,18.61,24.4
Archerfield,2009,12,30.51,20.76,25.63
